Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
MRPS14,0.87102,0.06335,0.60265,0.01662,3.37267
MYEOV2,0.87096,0.03728,0.60979,0.00197,4.68853
CS,0.87095,0.05778,0.58978,0.00065,4.56594
PCM1,0.87082,0.06513,0.69463,0.01527,2.03414
PFDN2,0.8702,0.02801,0.6071,0.00262,4.76956
SAR1A,0.8701,0.1052,0.48054,0.00065,3.23648
RPL10,0.8699,0,0.76465,0.00131,4.08214
COX7B,0.86922,0.02219,0.63267,0,5.01326
SRSF6,0.8691,0.04289,0.72609,0.00065,4.08876
NAPA,0.86905,0.04309,0.61039,0.00791,4.32383
IST1,0.86899,0.06836,0.60372,0.00197,4.15722
BRD2,0.86854,0.03469,0.70278,0,4.541
RNF181,0.86836,0.03556,0.64775,0.00526,4.38779
DHX29,0.86825,0.07338,0.6323,0.01258,2.96777
GRWD1,0.86823,0.05839,0.67452,0.00394,3.84806
KIAA0020,0.86823,0.05651,0.62824,0,4.63206
NDUFB11,0.8682,0.02602,0.61216,0.00131,4.90575
PIPSL,0.86818,0.07012,0.53659,0.00658,4.08415
UBB,0.86812,0,0.65244,0,5.12484
U2SURP,0.86804,0.06045,0.61649,0,4.59779
SF1,0.86771,0.0116,0.83525,0.00065,2.62008
PSMD2,0.86768,0.00601,0.68659,0.00065,4.72211
APEX1,0.86743,0.0558,0.54205,0.00065,4.83597
NOL10,0.8673,0.06763,0.65068,0.00991,3.3406
PSMB3,0.86725,0.05519,0.48524,0,5.10437
CHCHD7,0.86721,0.03324,0.64343,0.0046,4.50395
STIP1,0.86717,0.05271,0.58588,0,4.8929
SBDS,0.86694,0.06035,0.64194,0.0046,4.01569
MARS,0.86649,0.05047,0.69622,0.00131,4.1588
COPS3,0.86631,0.08318,0.56492,0.00394,3.70375
MRPS25,0.86624,0.05431,0.52641,0.00131,4.86307
RAB10,0.8659,0.04249,0.69818,0.00262,4.20632
EMC4,0.86578,0.04146,0.62165,0.00328,4.63204
TMEM50A,0.86554,0.05816,0.61725,0.00262,4.40804
ORC6,0.86514,0.06962,0.68597,0.00858,3.0125
YTHDF2,0.865,0.03651,0.64169,0.00065,4.80201
CDC5L,0.86486,0.04205,0.62266,0.0046,4.56663
EIF4E2,0.86441,0.0553,0.53843,0.00197,4.8075
DNTTIP2,0.86424,0.04365,0.67693,0.00131,4.48968
PKN2,0.86416,0.03103,0.78021,0.01527,2.21829
PRMT1,0.86395,0.03017,0.59474,0.00131,5.03305
EIF3K,0.86359,0.00066,0.60895,0,5.3152
TRIAP1,0.86351,0.05081,0.6586,0.00328,4.33151
CNOT2,0.86349,0.06764,0.68303,0.01393,2.86895
FXR1,0.86317,0.08058,0.58559,0.00394,3.83882
NSD1,0.86304,0.06544,0.70937,0.00924,3.00977
NOP2,0.86299,0.0536,0.65765,0.00328,4.29934
KNOP1,0.86296,0.03539,0.66451,0,4.89956
AURKB,0.86277,0.08824,0.62355,0.00394,3.17899
C14ORF119,0.86251,0.04921,0.6139,0.00328,4.62458
USP10,0.86231,0.11828,0.4669,0.00131,2.72494
RBM14,0.86214,0.0505,0.7215,0.00328,3.91942
POMP,0.86182,0.02601,0.6039,0,5.26226
UBXN4,0.86167,0.04906,0.59696,0.00658,4.55553
Sep-02,0.86154,0.03148,0.6066,0.00131,5.03402
MRPL57,0.8614,0.04797,0.57013,0.00262,4.87454
SPCS2,0.86138,0.10154,0.50212,0.02206,0.86768
PRPF4,0.86131,0.07469,0.67519,0.01527,2.46575
HSBP1,0.86069,0,0.63647,0.00065,5.1752
BCAP31,0.8604,0.04818,0.72971,0.00262,4.01101
DNAJC8,0.85988,0.03645,0.58318,0,5.27594
SRSF4,0.85946,0.07254,0.5828,0.0046,4.21124
PSMD4,0.85921,0,0.70664,0,4.97187
EIF3A,0.85896,0.12185,0.48102,0,3.208
MRPL55,0.85852,0.01655,0.72982,0.00131,4.55853
NSA2,0.85806,0.07752,0.63619,0.00328,3.90054
GTF2F1,0.8579,0.03822,0.73252,0.00262,4.22323
SCO1,0.85778,0.0728,0.674,0.01191,3.16529
WSB1,0.85771,0.03132,0.67985,0.00131,4.77257
VIMP,0.85724,0.06812,0.70683,0.01258,2.93838
SAP18,0.85716,0,0.67281,0,5.19728
AATF,0.85715,0.09381,0.60139,0.00658,3.07656
UXT,0.85646,0.0203,0.71163,0.00328,4.57757
PAK1IP1,0.85633,0.05683,0.61357,0.00328,4.6435
ADRM1,0.85632,0,0.70262,0,5.08017
TIMMDC1,0.85632,0.07812,0.59312,0.0046,4.08143
KIF5B,0.85614,0.09234,0.49106,0.00065,4.27553
RPL38,0.85605,0.0657,0.43859,0,5.19878
RAD1,0.85602,0.07341,0.66285,0.01058,3.43269
LYAR,0.85567,0.06285,0.6733,0.00131,4.36392
EEF2,0.85559,0,0.74404,0,4.8709
NTMT1,0.85544,0.07084,0.62127,0.00858,3.9772
RPS27,0.85544,0.03266,0.67094,0.00858,4.49618
POLR2F,0.85507,0.01462,0.64335,0,5.31166
RBM25,0.85501,0.02343,0.69194,0,5.02381
MELK,0.85496,0.0774,0.69525,0.01393,2.43654
NIPBL,0.85473,0.03673,0.76454,0.01595,3.13318
SUMO2,0.85434,0.00793,0.67836,0.00131,5.00998
TMPO,0.85434,0.05558,0.74203,0.00131,4.04743
NOP10,0.85428,0.00104,0.67117,0.00065,5.14572
POLR1D,0.85382,0.03232,0.70849,0.00065,4.76354
HNRNPDL,0.85357,0,0.70976,0,5.14712
NSRP1,0.8534,0.08335,0.65717,0.00526,3.45407
MESDC2,0.85305,0.05161,0.67062,0.00328,4.54776
ZCRB1,0.85303,0.04973,0.61393,0.00592,4.71274
HCCS,0.85285,0.05919,0.77547,0.01191,2.19422
SURF6,0.85211,0.04588,0.82291,0.00526,2.31021
NUDT21,0.85188,0.09662,0.52808,0.00197,4.02304
FAM60A,0.85181,0.07293,0.61261,0.0046,4.2818
NDUFB6,0.85176,0.09186,0.45382,0,4.60112
TMA7,0.85142,0.04294,0.51875,0.00328,5.26131
GNL3,0.85141,0,0.73137,0,5.05568
PRPF4B,0.85129,0.05462,0.70492,0.00262,4.34996
COA6,0.85083,0.04368,0.63022,0.00924,4.6702
ABHD2,0.85042,0.07561,0.65129,0.01595,3.36617
NOLC1,0.85039,0.05026,0.58889,0,5.2984
SNHG8,0.85034,0.05694,0.62261,0.00197,4.83114
NAT10,0.85003,0.04982,0.71114,0.01527,3.80975
